buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
2600.0,52.0,100.0,7.0,9.780493731761862,5200,2600.0,639.2695026397705
2650.0,53.0,100.0,0.0,9.762188310787392,5300,2650.0,649.5131084918976
2700.0,54.0,100.0,0.0,9.754068545946112,5400,2700.0,659.7652418613434
2750.0,55.0,100.0,0.0,9.832659053417522,5500,2750.0,669.9354319572449
2800.0,56.0,100.0,0.0,9.862551764650389,5600,2800.0,680.0747964382172
2850.0,57.0,100.0,0.0,9.804037708542175,5700,2850.0,690.2746765613556
2900.0,58.0,100.0,0.0,9.394634502522178,5800,2900.0,700.9190511703491
2950.0,59.0,100.0,0.0,9.672346602259134,5900,2950.0,711.2578053474426
3000.0,60.0,100.0,0.0,9.539255729523797,6000,3000.0,721.7408039569855
3050.0,61.0,100.0,13.0,2.303466313961275,6100,3050.0,765.1536393165588
3100.0,62.0,100.0,0.0,9.55414923893528,6200,3100.0,775.6202971935272
3150.0,63.0,100.0,13.0,9.663482441303495,6300,3150.0,785.9685344696045
3200.0,64.0,100.0,0.0,9.760707783867888,6400,3200.0,796.2136945724487
3250.0,65.0,100.0,0.0,9.649294946247844,6500,3250.0,806.57714676857
3300.0,66.0,100.0,0.0,9.934039349018473,6600,3300.0,816.6435465812683
3350.0,67.0,100.0,10.0,9.217784190347118,6700,3350.0,827.4921417236328
3400.0,68.0,100.0,0.0,9.762408713023513,6800,3400.0,837.7355160713196
3450.0,69.0,100.0,0.0,9.890025184724806,6900,3450.0,847.8467147350311
3500.0,70.0,100.0,0.0,9.527952347698804,7000,3500.0,858.3421502113342
3550.0,71.0,100.0,0.0,9.933951353692905,7100,3550.0,868.4086391925812
3600.0,72.0,100.0,0.0,9.29582451145439,7200,3600.0,879.1661586761475
3650.0,73.0,100.0,15.0,9.35656087745063,7300,3650.0,889.8538472652435
3700.0,74.0,100.0,13.0,9.613210683706441,7400,3700.0,900.2562000751495
3750.0,75.0,100.0,0.0,9.022747636680418,7500,3750.0,911.3392994403839
3800.0,76.0,100.0,0.0,9.653290402243066,7600,3800.0,921.6984624862671
3850.0,77.0,100.0,0.0,9.220434880606112,7700,3850.0,932.5439386367798
3900.0,78.0,100.0,0.0,9.905030769847313,7800,3900.0,942.6398191452026
